team1;logoUrl;color1;color2
1. FC Heidenheim 1846;https://images.fotmob.com/image_resources/logo/teamlogo/94937.png;#003b79;
1. FC Nürnberg;https://images.fotmob.com/image_resources/logo/teamlogo/8165.png;#ad1732;
Dynamo Dresden;https://images.fotmob.com/image_resources/logo/teamlogo/8480.png;#f3ac26;
Erzgebirge Aue;https://images.fotmob.com/image_resources/logo/teamlogo/8319.png;#400080;
FC Ingolstadt 04;https://images.fotmob.com/image_resources/logo/teamlogo/8234.png;#d71920;
FC St. Pauli;https://images.fotmob.com/image_resources/logo/teamlogo/8152.png;#624839;
Fortuna Düsseldorf;https://images.fotmob.com/image_resources/logo/teamlogo/8194.png;#da251d;
Hamburg SV;https://images.fotmob.com/image_resources/logo/teamlogo/9790.png;#0a3f86;
Hannover 96;https://images.fotmob.com/image_resources/logo/teamlogo/9904.png;#179d33;
Hansa Rostock;https://images.fotmob.com/image_resources/logo/teamlogo/8294.png;#0000fe;#ff0d01
Holstein Kiel;https://images.fotmob.com/image_resources/logo/teamlogo/8150.png;#cc3043;#0f5787
Jahn Regensburg;https://images.fotmob.com/image_resources/logo/teamlogo/7789.png;#fd1220;
Karlsruher SC;https://images.fotmob.com/image_resources/logo/teamlogo/8295.png;#003798;
SC Paderborn;https://images.fotmob.com/image_resources/logo/teamlogo/8460.png;#0f5787;
Schalke 04;https://images.fotmob.com/image_resources/logo/teamlogo/10189.png;#004d9d;
SV Darmstadt 98;https://images.fotmob.com/image_resources/logo/teamlogo/8262.png;#004f9f;
SV Sandhausen;https://images.fotmob.com/image_resources/logo/teamlogo/8086.png;#000000;
Werder Bremen;https://images.fotmob.com/image_resources/logo/teamlogo/8697.png;#1d9053;
