rank,name,confed,off,def,spi
1,Brazil,CONMEBOL,3.01,0.24,93.13
2,Spain,UEFA,2.99,0.41,90.64
3,France,UEFA,2.97,0.41,90.45
4,Germany,UEFA,3.24,0.56,90.08
5,Argentina,CONMEBOL,2.64,0.39,88.1
6,Portugal,UEFA,2.83,0.53,87.41
7,England,UEFA,2.62,0.45,86.78
8,Netherlands,UEFA,2.77,0.62,85.26
9,Belgium,UEFA,2.77,0.66,84.56
10,Italy,UEFA,2.38,0.48,83.61
11,Switzerland,UEFA,2.41,0.6,81.65
12,Denmark,UEFA,2.42,0.61,81.52
13,Croatia,UEFA,2.46,0.69,80.42
14,Mexico,CONCACAF,2.12,0.49,80.17
15,Uruguay,CONMEBOL,2.19,0.54,80.0
16,Colombia,CONMEBOL,2.06,0.47,79.76
17,USA,CONCACAF,2.27,0.63,79.24
18,Morocco,CAF,2.28,0.69,78.02
19,Ecuador,CONMEBOL,2.12,0.6,77.6
20,Czech Republic,UEFA,2.2,0.68,77.17
21,Serbia,UEFA,2.23,0.76,75.89
22,Canada,CONCACAF,2.01,0.63,75.36
23,Sweden,UEFA,2.17,0.76,74.79
24,Japan,AFC,1.89,0.58,74.48
25,Austria,UEFA,2.18,0.8,74.13
26,Algeria,CAF,2.27,0.88,73.78
27,Poland,UEFA,2.1,0.78,73.28
28,South Korea,AFC,1.73,0.54,72.85
29,Chile,CONMEBOL,1.93,0.69,72.65
30,Senegal,CAF,1.92,0.68,72.59
31,Peru,CONMEBOL,1.96,0.75,71.71
32,Norway,UEFA,1.94,0.74,71.68
33,Iran,AFC,1.67,0.62,69.63
34,Wales,UEFA,1.77,0.72,68.95
35,Tunisia,CAF,1.63,0.64,68.32
36,Mali,CAF,1.41,0.5,67.37
37,Ivory Coast,CAF,1.76,0.78,67.35
38,Cameroon,CAF,1.69,0.74,66.96
39,Scotland,UEFA,1.71,0.76,66.87
40,Australia,AFC,1.81,0.85,66.66
41,Russia,UEFA,1.87,0.9,66.62
42,Venezuela,CONMEBOL,1.85,0.89,66.48
43,Ukraine,UEFA,1.81,0.86,66.47
44,Egypt,CAF,1.56,0.66,66.39
